10,96,25,24,44,3,,,,,,,,,,,,,,,,
Codominant data,,,SCOPARIA,WAPONAHKIKENSIS,TINCTA,,,,,,,,,,,,,,,,
,pop,S082_1,S082_2,S180_1,S180_2,S245_1,S245_2,S119_1,S119_2,S181_1,S181_2,S087_1,S087_2,S177_1,S177_2,S175_1,S175_2,S047_1,S047_2,S128_1,S128_2
2878M,scoparia,0,0,0,0,0,0,168,168,249,249,221,221,194,194,117,117,249,249,158,158
2889C,scoparia,0,0,0,0,0,0,171,171,246,246,218,218,194,194,117,117,249,249,177,177
S11,scoparia,144,144,184,184,196,196,174,174,240,240,203,203,197,197,105,105,220,220,158,158
S12,scoparia,158,158,184,184,196,196,171,171,231,231,212,212,189,189,117,117,249,249,158,158
S13,scoparia,144,144,184,184,196,205,171,171,228,228,221,221,186,194,117,117,249,249,161,161
S14,scoparia,144,144,184,184,196,196,171,171,246,246,215,215,203,203,114,114,236,236,158,158
S15,scoparia,144,144,184,184,196,196,171,171,243,243,209,209,194,194,114,114,220,236,158,158
S16,scoparia,144,144,193,193,196,196,168,168,246,246,233,233,194,194,117,117,249,249,164,164
S17,scoparia,147,147,193,193,208,208,174,174,263,263,233,233,189,189,117,117,265,265,158,158
S18,scoparia,147,147,193,193,208,208,174,174,263,263,233,233,189,189,117,117,265,265,158,158
S19,scoparia,144,153,184,184,199,208,171,174,240,246,212,215,194,200,117,117,253,253,164,164
S20,scoparia,144,144,184,184,208,208,168,168,258,258,218,218,189,189,117,117,253,253,161,161
S21,scoparia,144,144,184,184,196,196,171,171,243,243,209,209,189,189,114,114,269,269,158,158
3485C,scoparia,144,147,184,184,208,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S22,scoparia,144,144,184,184,205,205,171,171,231,231,227,227,194,194,105,105,236,236,145,151
S23,scoparia,144,144,184,184,199,199,168,168,243,243,221,221,194,194,117,117,278,278,167,167
S24,scoparia,144,144,196,196,211,211,171,171,243,243,215,215,194,194,117,117,249,249,158,158
S25,scoparia,144,144,184,184,196,196,174,174,243,243,215,215,183,183,117,117,249,249,164,164
S26,scoparia,164,164,196,196,211,211,177,177,240,240,227,227,194,194,117,117,249,249,164,164
S27,scoparia,144,144,184,184,196,196,165,165,240,240,233,233,194,194,117,117,261,261,158,158
3644,scoparia,158,158,184,184,208,208,165,165,237,237,227,227,194,194,117,117,0,0,164,164
S28,scoparia,144,144,184,184,196,196,171,171,243,243,227,227,194,194,114,114,236,236,158,158
3656A,scoparia,158,158,184,184,196,196,171,171,231,231,221,221,194,194,105,105,0,0,145,145
3656B,scoparia,144,144,184,184,196,196,174,174,240,240,224,224,194,194,105,105,0,0,167,167
S29,scoparia,147,147,184,184,202,202,177,177,225,225,221,221,186,186,123,123,244,244,158,158
S10_1,scoparia_ME,147,147,184,184,199,199,165,165,243,243,209,209,189,189,114,114,265,265,170,170
S10_2,scoparia_ME,147,147,184,184,199,199,171,171,243,243,209,209,194,194,117,117,257,257,158,158
S3_3,scoparia_ME,144,144,184,184,199,199,165,177,243,243,209,209,186,186,114,114,269,269,158,158
S4_1,scoparia_ME,147,147,184,184,199,199,171,171,243,243,209,209,194,194,114,114,240,240,158,158
S4_2,scoparia_ME,158,158,184,184,208,208,171,177,228,243,209,218,194,194,101,114,240,265,158,170
S4_3,scoparia_ME,147,147,184,184,199,199,171,171,246,246,209,209,186,186,117,117,265,265,158,158
S5_1,scoparia_ME,144,144,184,184,199,199,171,171,243,243,209,209,186,186,114,114,265,265,158,158
S5_2,scoparia_ME,158,158,184,184,205,205,171,171,237,237,203,203,194,194,117,117,265,265,158,158
S5_3,scoparia_ME,158,158,184,184,208,208,177,177,246,246,218,218,194,194,114,114,236,236,158,158
S8_1,scoparia_ME,158,158,184,184,199,199,177,177,243,243,209,209,194,194,120,120,257,257,158,158
S8_2,scoparia_ME,158,158,184,184,199,199,174,174,243,243,209,209,186,186,114,114,236,236,158,158
S9_1,scoparia_ME,158,158,184,184,199,199,174,174,243,243,209,209,194,194,114,114,265,265,158,158
S9_2,scoparia_ME,158,158,184,184,199,199,171,171,243,243,209,209,186,186,117,117,245,245,158,158
S2_1,scoparia_ME,147,153,184,184,199,199,171,171,228,243,209,209,194,194,114,114,236,261,158,170
S2_2,scoparia_ME,153,158,184,184,199,199,171,177,237,246,209,209,194,194,114,114,240,269,158,158
S7_1,scoparia_ME,158,158,184,184,199,199,171,171,243,243,236,236,194,194,117,117,245,245,158,158
S7_2,scoparia_ME,158,158,184,184,199,199,171,171,243,243,236,236,194,194,117,117,245,245,158,158
S1_1,scoparia_ME,144,144,184,184,199,199,171,171,243,243,209,209,194,194,114,114,240,240,158,158
S1_2,scoparia_ME,144,147,184,184,199,199,165,174,237,243,209,209,186,194,114,114,240,261,158,158
S6_1,scoparia_ME,153,153,184,184,196,196,174,174,243,243,215,215,186,186,114,114,240,240,164,164
S6_2,scoparia_ME,158,158,184,184,199,199,171,171,243,243,209,209,186,186,114,114,245,245,158,158
S6_3,scoparia_ME,147,147,184,184,199,199,177,177,243,243,209,209,194,194,101,101,240,240,158,158
S3_1,scoparia_ME,147,147,184,184,208,208,171,171,243,243,209,209,186,186,114,114,269,269,158,158
S3_2,scoparia_ME,147,153,184,184,208,208,171,171,243,243,215,218,186,194,114,114,249,249,158,158
W11_2,waponahkikensis,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
W9_3,waponahkikensis,144,144,184,184,196,196,184,184,231,231,212,212,191,191,120,120,229,229,158,158
